04-01-2023 14:11:29.120 [main] INFO  com.akash.ELK_POC.ElkPocApplication.logStarting - Starting ElkPocApplication using Java 17.0.4 with PID 58656 (C:\Users\Aakash\Downloads\ELK_POC\ELK_POC\target\classes started by Aakash in C:\Users\Aakash\Downloads\ELK_POC\ELK_POC)
04-01-2023 14:11:29.125 [main] INFO  com.akash.ELK_POC.ElkPocApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
04-01-2023 14:11:29.898 [main] INFO  com.akash.ELK_POC.ElkPocApplication.logStarted - Started ElkPocApplication in 1.05 seconds (process running for 1.792)
04-01-2023 14:11:49.029 [http-nio-8080-exec-2] INFO  com.akash.ELK_POC.ELKController.foodDetails - Inside Food Detail Function
04-01-2023 14:11:49.029 [http-nio-8080-exec-2] INFO  com.akash.ELK_POC.ELKService.getAllFoodDetails - Fetching ALL food details...
04-01-2023 14:11:49.036 [http-nio-8080-exec-2] INFO  com.akash.ELK_POC.ELKService.getAllFoodDetails - [{"image":"🥑","quantity":"4 🥑","price":"6.50","description":"A ripe avocado yields to gentle pressure when held in the palm and squeezed. ","from":"Spain","id":0,"productName":"Fresh Avocados","organic":true,"nutrients":"Vitamin B, Vitamin K"},{"image":"🧀","quantity":"250g","price":"5.00","description":"Creamy and distinct in flavor, goat cheese is a dairy product enjoyed around the world.","from":"Portugal","id":1,"productName":"Cheese","organic":false,"nutrients":"Vitamin A, Calcium"},{"image":"🥦","quantity":"3 🥦","price":"5.50","description":"Broccoli is known to be a hearty and tasty vegetable which is rich in dozens of nutrients.","from":"Portugal","id":2,"productName":"Broccoli","organic":true,"nutrients":"Vitamin C, Vitamin K"}]
04-01-2023 20:46:18.650 [main] INFO  com.akash.ELK_POC.ElkPocApplication.logStarting - Starting ElkPocApplication using Java 17.0.4 with PID 16720 (C:\Users\Aakash\Downloads\ELK_POC\ELK_POC\target\classes started by Aakash in C:\Users\Aakash\Downloads\ELK_POC\ELK_POC)
04-01-2023 20:46:18.653 [main] INFO  com.akash.ELK_POC.ElkPocApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
04-01-2023 20:46:19.519 [main] INFO  com.akash.ELK_POC.ElkPocApplication.logStarted - Started ElkPocApplication in 1.176 seconds (process running for 1.692)
04-01-2023 20:46:27.784 [http-nio-8080-exec-1] INFO  com.akash.ELK_POC.ELKController.foodDetails - Inside Food Detail Function
04-01-2023 20:46:27.785 [http-nio-8080-exec-1] INFO  com.akash.ELK_POC.ELKService.getAllFoodDetails - Fetching ALL food details...
